id,MyName,LikeMovie,Gender,Age,Story,Entertainment,Effect,Cast,Q2_word,district1,district2
65ddebabfc13ae1d74cd3750,Samson,YES,Female,< 20,2,3,4,5,,NT,HK-YL_Yuen Long
65ddebabfc13ae1d74cd3751,Hilliary,YES,Male,> 60,1,5,5,3,,HK,HK-CW_Central and Western
65ddebabfc13ae1d74cd3752,Ned,YES,Female,41-60,2,2,5,3,,KLN,HK-KU_Kwun Tong
65ddebabfc13ae1d74cd3753,Berkley,YES,Female,21-40,3,1,4,1,,KLN,HK-YT_Yau Tsim Mong
65ddebabfc13ae1d74cd3754,Antonio,YES,Female,< 20,4,4,4,4,,NT,HK-TM_Tusen Mun
65ddebabfc13ae1d74cd3755,Von,YES,Female,< 20,5,4,2,2,,KLN,HK-KC_Kowloon City
65ddebabfc13ae1d74cd3756,Zaria,YES,Male,41-60,1,2,4,4,,HK,HK-WC_Wan Chai
65ddebabfc13ae1d74cd3757,Tallie,YES,Female,41-60,2,5,5,1,,KLN,HK-WT_Wong Tai Sin
65ddebabfc13ae1d74cd3758,Concordia,YES,Female,41-60,4,3,4,4,,KLN,HK-YT_Yau Tsim Mong
65ddebabfc13ae1d74cd3759,Cristobal,NO,Male,21-40,5,3,4,2,,KLN,HK-WT_Wong Tai Sin
65ddebabfc13ae1d74cd375a,Reese,YES,Female,41-60,5,5,1,3,,HK,HK-WC_Wan Chai
65ddebabfc13ae1d74cd375b,Culver,YES,Female,21-40,4,4,2,5,,HK,HK-SO_Southern
65ddebabfc13ae1d74cd375c,Stella,YES,Male,21-40,1,4,5,3,,HK,HK-KI_Kwai Tsing
65ddebabfc13ae1d74cd375d,Aigneis,YES,Female,21-40,3,4,3,3,,HK,HK-WC_Wan Chai
65ddebabfc13ae1d74cd375e,Leora,NO,Female,21-40,4,2,4,4,,HK,HK-CW_Central and Western
65ddebabfc13ae1d74cd375f,Alidia,NO,Male,> 60,4,3,1,1,,NT,HK-ST_Sha Tin
65ddebabfc13ae1d74cd3760,Darcey,NO,Male,< 20,2,3,1,3,,HK,HK-KI_Kwai Tsing
65ddebabfc13ae1d74cd3761,Theo,YES,Male,21-40,5,2,2,3,,KLN,HK-SS_Sham Shui Po
65ddebabfc13ae1d74cd3762,Alexina,YES,Female,41-60,3,3,3,4,,HK,HK-EA_Eastern
65ddebabfc13ae1d74cd3763,Raphael,YES,Male,< 20,5,3,5,4,,KLN,HK-SS_Sham Shui Po
65ddebabfc13ae1d74cd3764,Lindon,YES,Male,< 20,5,2,3,4,,KLN,HK-YT_Yau Tsim Mong
65ddebabfc13ae1d74cd3765,Pearla,YES,Female,< 20,3,4,4,2,,NT,HK-IS_Island
65ddebabfc13ae1d74cd3766,Terrill,YES,Male,21-40,2,5,4,2,,HK,HK-EA_Eastern
65ddebabfc13ae1d74cd3767,Mattie,YES,Female,> 60,2,4,1,1,,KLN,HK-KC_Kowloon City
65ddebabfc13ae1d74cd3768,Nanette,YES,Male,< 20,1,2,2,2,,HK,HK-WC_Wan Chai
65ddebabfc13ae1d74cd3769,Emylee,YES,Male,21-40,2,3,4,2,,HK,HK-CW_Central and Western
65ddebabfc13ae1d74cd376a,Emmit,YES,Male,< 20,5,3,3,5,,HK,HK-WC_Wan Chai
65ddebabfc13ae1d74cd376b,Armand,YES,Male,< 20,5,2,5,2,,KLN,HK-KC_Kowloon City
65ddebabfc13ae1d74cd376c,Danila,YES,Female,> 60,3,3,3,1,,KLN,HK-YT_Yau Tsim Mong
65ddebabfc13ae1d74cd376d,Athena,YES,Male,21-40,1,3,3,3,,KLN,HK-KU_Kwun Tong
65ddebabfc13ae1d74cd376e,Row,YES,Female,< 20,1,1,2,3,,NT,HK-TM_Tusen Mun
65ddebabfc13ae1d74cd376f,Chris,YES,Female,< 20,5,1,3,4,,HK,HK-EA_Eastern
65ddebabfc13ae1d74cd3770,Massimiliano,YES,Male,21-40,1,5,4,4,,KLN,HK-YT_Yau Tsim Mong
65ddebabfc13ae1d74cd3771,Prentiss,YES,Male,21-40,3,4,5,3,,NT,HK-YL_Yuen Long
65ddebabfc13ae1d74cd3772,Sascha,YES,Male,< 20,3,2,2,2,,NT,HK-TW_Tsun Wan
65ddebabfc13ae1d74cd3773,Rochella,NO,Male,< 20,1,2,4,2,,HK,HK-KI_Kwai Tsing
65ddebabfc13ae1d74cd3774,Tyson,YES,Male,21-40,4,1,1,2,,KLN,HK-YT_Yau Tsim Mong
65ddebabfc13ae1d74cd3775,Gabie,YES,Male,< 20,5,2,3,1,,HK,HK-SO_Southern
65ddebabfc13ae1d74cd3776,Roi,YES,Female,21-40,3,4,5,4,,HK,HK-EA_Eastern
65ddebabfc13ae1d74cd3777,Kath,YES,Female,41-60,4,1,4,2,,HK,HK-CW_Central and Western
65ddebabfc13ae1d74cd3778,Kaine,YES,Male,21-40,3,1,1,5,,KLN,HK-SS_Sham Shui Po
65ddebabfc13ae1d74cd3779,Emlyn,YES,Female,41-60,1,1,3,5,,KLN,HK-WT_Wong Tai Sin
65ddebabfc13ae1d74cd377a,Don,YES,Female,21-40,3,5,4,1,,NT,HK-TM_Tusen Mun
65ddebabfc13ae1d74cd377b,Eugene,YES,Male,21-40,2,4,2,1,,KLN,HK-YT_Yau Tsim Mong
65ddebabfc13ae1d74cd377c,Ron,YES,Female,< 20,5,3,5,3,,KLN,HK-YT_Yau Tsim Mong
65ddebabfc13ae1d74cd377d,Blinny,YES,Male,< 20,4,1,3,5,,NT,HK-TM_Tusen Mun
65ddebabfc13ae1d74cd377e,Janot,NO,Female,41-60,2,4,5,2,,HK,HK-CW_Central and Western
